,compound
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.5445
2020-01-17,0.0
2020-01-21,0.7256
2020-01-22,0.9336
2020-01-23,0.9336
2020-01-24,0.4359
2020-01-27,0.7574
2020-01-28,0.7574
2020-01-29,0.7574
2020-01-30,0.4404
2020-01-31,0.4404
2020-02-03,0.8675
2020-02-04,0.8675
2020-02-05,0.8675
2020-02-06,0.8675
2020-02-07,0.8474
2020-02-10,0.8474
2020-02-11,0.8474
2020-02-12,0.8474
2020-02-13,0.8474
2020-02-14,0.8474
2020-02-18,0.8474
2020-02-19,0.8474
2020-02-20,0.8474
2020-02-21,0.0
2020-02-24,0.7251
2020-02-25,-0.4003
2020-02-26,0.1461
2020-02-27,0.1461
2020-02-28,-0.2758999999999999
2020-03-02,0.11379999999999998
2020-03-03,0.3744
2020-03-04,0.556
2020-03-05,-0.283775
2020-03-06,0.8156
2020-03-09,-0.19056666666666666
2020-03-10,0.8526
2020-03-11,0.472575
2020-03-12,-0.2003
2020-03-13,-0.346475
2020-03-16,0.8481
2020-03-17,0.2883
2020-03-18,0.25717500000000004
2020-03-19,0.7734
2020-03-23,0.81175
2020-03-24,0.8074
2020-03-25,-0.0164
2020-03-26,-0.0164
2020-03-27,0.9323
2020-03-30,-0.1923
2020-03-31,-0.1923
2020-04-01,-0.1923
2020-04-02,-0.1923
2020-04-03,-0.1923
2020-04-06,-0.7165
2020-04-07,-0.19809999999999997
2020-04-08,-0.19809999999999997
2020-04-09,0.69
2020-04-13,-0.56545
2020-04-14,-0.56545
2020-04-15,-0.56545
2020-04-16,-0.56545
2020-04-17,-0.6177
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.08899999999999997
2020-04-23,0.08899999999999997
2020-04-24,0.6166
2020-04-27,-0.8323
2020-04-28,-0.8323
2020-04-29,0.4926
2020-04-30,0.4926
2020-05-01,0.3664
2020-05-04,-0.43415000000000004
2020-05-05,0.4926
2020-05-06,0.0258
2020-05-07,0.0258
2020-05-08,0.0258
2020-05-11,0.4347
2020-05-12,-0.0005499999999999949
2020-05-13,0.6696
2020-05-14,0.8364
2020-05-15,0.6996
2020-05-18,0.7771
2020-05-19,0.7771
2020-05-20,-0.902
2020-05-21,-0.2371
2020-05-22,-0.2371
2020-05-26,-0.48775
2020-05-27,-0.271
2020-05-28,0.35086666666666666
2020-05-29,-0.22876666666666667
2020-06-01,-0.9648
2020-06-02,0.6793
2020-06-03,0.6793
2020-06-04,0.6793
2020-06-05,0.6793
2020-06-08,0.6793
2020-06-09,0.2646
2020-06-10,0.2646
2020-06-11,0.9115
2020-06-12,0.9115
2020-06-15,-0.9324
2020-06-16,-0.9324
2020-06-17,-0.9324
2020-06-18,-0.05790000000000001
2020-06-19,0.4278
2020-06-22,-0.02899999999999997
2020-06-23,0.83615
2020-06-24,-0.5972
2020-06-25,0.729
2020-06-26,-0.4389
2020-06-29,-0.68
2020-06-30,-0.8921
2020-07-01,-0.8921
2020-07-02,-0.8921
2020-07-06,-0.4666166666666666
2020-07-07,-0.6181
2020-07-08,0.8456
2020-07-09,0.8456
2020-07-10,0.8456
2020-07-13,0.8456
2020-07-14,0.8456
2020-07-15,0.6588
2020-07-16,0.6588
2020-07-17,0.765
2020-07-21,0.02065
2020-07-22,0.02065
2020-07-23,0.02065
2020-07-24,0.02065
2020-07-27,-0.04913333333333333
2020-07-28,-0.6694
2020-07-29,-0.6694
2020-07-30,-0.6485000000000001
2020-07-31,-0.8109
2020-08-03,-0.3789666666666667
2020-08-04,-0.5716
2020-08-05,-0.6114
2020-08-06,-0.6114
2020-08-07,0.030666666666666658
2020-08-10,0.030666666666666658
2020-08-11,0.4003
2020-08-12,0.4003
2020-08-13,0.4003
2020-08-14,-0.2942
2020-08-17,0.8916
2020-08-18,-0.9199
2020-08-19,0.004650000000000001
2020-08-20,0.004650000000000001
2020-08-21,0.004650000000000001
2020-08-24,-0.7922
2020-08-25,-0.7922
2020-08-26,0.2404
2020-08-27,-0.4694
2020-08-28,-0.4694
2020-08-31,-0.4694
2020-09-01,-0.4694
2020-09-02,-0.4694
2020-09-03,-0.9491
2020-09-04,-0.9491
2020-09-08,0.05535000000000001
2020-09-09,0.05535000000000001
2020-09-10,0.05535000000000001
2020-09-11,0.05535000000000001
2020-09-14,0.60055
2020-09-15,0.60055
2020-09-16,-0.053249999999999964
2020-09-17,-0.4159
2020-09-18,-0.313875
2020-09-21,-0.313875
2020-09-22,-0.313875
2020-09-23,0.8188
2020-09-24,0.8188
2020-09-25,0.8553
2020-09-28,0.8553
2020-09-29,0.8553
2020-09-30,-0.6114
